# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 327363 359826 122235 309426
-0.958037688499 -7155321.51949 0.575345470238 305467 340630 166665 431343
-1.92544321007 -3318814.19289 0.795782604954 298520 336960 156276 471865
-2.99551207065 -1721098.47019 0.23468685839 276051 315181 171024 439774
-3.9583484615 -1001686.56671 0.871351022421 278767 321096 169057 460441
-4.95965979948 -566812.468302 0.290458887256 271378 315068 158157 452459
-5.9935738998 -313311.445082 0.850355111867 258486 303156 169389 429709
-6.94759784233 -190626.756182 0.43659804783 259435 306338 164244 444016
-7.94394156276 -120766.871976 0.955777546874 257642 306472 165491 439102
-8.92785162096 -80584.7332247 0.173739068638 248236 296434 168850 430298
-9.88492088211 -56468.3905096 0.0879286967776 250158 300338 172232 437546
-10.8396350511 -41128.8618792 0.220429158712 251671 304634 166158 445249
-11.8300893325 -29862.6517199 0.47199778951 243606 295733 176899 430247
-12.755529921 -22661.1463834 0.246759797845 250761 306076 154885 451385
-13.8015572978 -16673.3605567 0.0633530040095 235392 289531 147390 412691
-14.8206661034 -12456.6272374 0.194788679234 226734 281146 138626 396894
-15.8535447489 -9373.22209654 0.145006239386 209385 261152 142741 367977
-16.8202416734 -7324.15517243 0.168090389699 207819 261061 141018 372246
-17.8018161303 -5794.6144735 0.175841818924 208346 262835 144970 372200
-18.7657682991 -4681.41660416 0.920453671823 205811 260831 137633 374122
-19.7657628069 -3794.76221901 0.361077115279 198408 253184 131711 359221
-20.7678124812 -3140.13511126 0.924512903693 195220 250568 128435 350657
-21.7704881318 -2652.81023647 0.722002241073 188036 243048 123032 339861
-22.7801632999 -2310.24158468 0.536912986932 178181 233469 115162 324891
-23.8020012857 -2077.7138851 0.304816278734 162720 215920 116656 299428
-24.7687648791 -1922.96522445 0.0820591883133 157681 211172 109387 296121
-25.7664131521 -1802.65589996 0.530335248564 147863 202197 99910 279930
-26.7831277679 -1717.3113311 0.995879022099 133298 185620 90060 253915
-27.8023824005 -1656.21522159 0.710210244391 116768 165166 77479 223623
-28.8319116199 -1609.99540088 0.183189472019 101106 147099 68706 192892
-29.8467383003 -1576.23840228 0.812281874178 85392 127868 58112 164884
-30.8647093297 -1551.51075441 0.502961217407 69615 107977 51876 134299
-31.846122332 -1533.80632167 0.258611974773 59844 96166 44642 116454
-32.831828873 -1519.57669684 0.29427343074 49299 82183 37257 95219
-33.8130121942 -1507.40199333 0.106001411855 39632 68313 28404 73829
-34.8017088697 -1496.17587274 0.801210329432 30356 53352 21194 50109
-35.7746687328 -1486.35498454 0.165487503663 21926 39245 10135 28786
-36.779578758 -1477.07443561 0.238036487709 9979 18555 0 0
