# log_X, log_likelihood, tiebreaker, accepts, tries, exceeds, visits
0 -1.79769313486e+308 0 306699 336983 114845 336983
-1.04525117973 -5838174.14647 0.475632506545 302170 338054 120041 380008
-2.13842916445 -2571655.99053 0.654477471871 297776 337677 132979 387510
-3.18196668587 -1377879.41508 0.493946669362 293985 336787 132345 392327
-4.23630551368 -742989.54082 0.835683534987 291434 337258 135685 394718
-5.27907513733 -407084.950888 0.0415823508095 288610 337171 161266 395286
-6.21178200018 -249786.823705 0.726227767271 286191 336781 147093 405945
-7.22152634625 -152504.116005 0.981899767336 283797 336497 149306 402376
-8.21598281555 -99469.7187518 0.491581526698 282264 336384 143523 403994
-9.23831125251 -66621.4242322 0.0852485280546 280133 335337 130742 400220
-10.3128809442 -45709.3615512 0.184412664623 278063 334909 129435 391803
-11.3800212344 -32212.4235283 0.968366682912 275934 334863 133799 390011
-12.423840438 -23384.8316365 0.222673012821 273208 333920 119979 389339
-13.5326652321 -16767.8787111 0.0546276916249 270210 332545 134941 381913
-14.5579277498 -12539.1686906 0.964970320977 268541 332637 133616 386359
-15.5966249264 -9409.24625495 0.339034157465 265955 332164 142421 388591
-16.5989972101 -7228.27180203 0.667393883084 263705 331588 143479 394528
-17.606322785 -5658.46267949 0.292749754977 262709 331742 138008 395407
-18.6396038438 -4478.26771815 0.651017082609 261008 331950 140851 391245
-19.6533141749 -3631.16519527 0.172360230001 259206 332201 127312 393130
-20.7326876345 -2957.25015034 0.218794733652 257460 331747 154021 388278
-21.6842083689 -2559.05231598 0.864204630495 255565 332133 135082 398897
-22.7364844352 -2223.37563996 0.715860242832 253739 331952 149494 393108
-23.715213137 -2018.62669433 0.835361739485 250124 331481 138243 395265
-24.7471984589 -1862.91999363 0.0726289327342 245748 331450 149039 392971
-25.7276702089 -1762.88361808 0.272257951034 241328 331329 148402 396305
-26.7162924745 -1689.82750085 0.0442093291676 237312 331370 154186 396331
-27.6801902696 -1638.84264628 0.42762480063 231630 331676 152948 398822
-28.6533477856 -1599.74459057 0.946892422468 226685 332240 146773 399711
-29.6545366856 -1569.06130556 0.163613601583 221504 332843 144072 398204
-30.6651680952 -1545.90938369 0.00657542031436 213077 332684 151502 396368
-31.6405419179 -1528.90946064 0.375134985036 205711 332378 146116 398032
-32.6419062338 -1514.48366564 0.0864338276579 197669 332420 144264 397118
-33.6499416508 -1502.02136256 0.996280334586 192378 332454 159326 396366
-34.5923902408 -1491.91240717 0.309168897017 188312 332738 147104 402376
-35.5964013769 -1482.21532483 0.930674579042 185532 333042 138043 397255
-36.6325045013 -1473.07217402 0.423932940873 181472 333219 150067 394361
-37.6107934806 -1465.90000847 0.261857137642 178012 333568 145861 398805
-38.6145177163 -1459.4109879 0.00721249765288 175182 334060 141251 397969
-39.6373134408 -1453.43269294 0.505097143269 171576 333690 150519 396004
-40.6163139669 -1448.27572519 0.721786170356 168909 333800 166822 400025
-41.5340904526 -1443.75851468 0.5041288045 166629 334116 168253 409238
-42.4608033826 -1438.95487374 0.55657719178 164229 334788 171472 412789
-43.3803440322 -1433.36935881 0.185926916423 162919 335428 164961 415232
-44.3297120563 -1425.35672716 0.869434026026 162582 335127 158510 412000
-45.3004486008 -1415.22457683 0.145392574987 161059 334720 153246 407808
-46.2866737451 -1404.87495045 0.789519398126 159193 334751 164699 405007
-47.2209670155 -1395.60847273 0.292824115932 158261 334929 176316 411710
-48.1198996791 -1386.92986044 0.669375102458 157650 334623 173265 418775
-49.0417608156 -1377.81949138 0.786175611603 157030 334808 162076 419136
-50.008959682 -1367.97309878 0.6126432047 156280 334909 167234 412904
-50.9455247423 -1358.21055182 0.33627707989 154963 335354 137930 413047
-52.0072584699 -1345.84508159 0.149304937178 154455 335877 142313 398826
-53.0266918099 -1333.55072404 0.819295141335 154039 335855 152167 398866
-54.0032460038 -1321.36267914 0.915658669374 152890 336024 161439 402496
-54.9468252373 -1309.2750593 0.173949385643 152087 335958 153756 407556
-55.9304879896 -1296.03241296 0.295404629719 151071 335919 144194 405702
-56.9525667366 -1281.66951599 0.276810334014 149163 335155 148242 400256
-57.9482361692 -1267.55557293 0.989253142038 147965 335097 146019 400754
-58.9543945087 -1253.17108651 0.997102932105 146807 334757 138955 399623
-59.9901732295 -1238.2052132 0.402549387093 145379 335125 155459 396249
-60.9485692936 -1224.97464952 0.626707474545 143720 335016 148208 403341
-61.9493190587 -1211.23241865 0.78488422268 142328 334640 143110 399396
-62.9661250684 -1197.36546605 0.716152753582 141492 334796 140453 398527
-63.9933947917 -1183.86224783 0.322833990627 140327 334876 138820 395916
-65.02381815 -1170.98796648 0.954191328984 139280 335046 141605 394269
-66.0390609053 -1158.78430966 0.237504538929 137256 334523 146507 396724
-67.0366082615 -1147.57801844 0.00702232893653 136010 333316 148054 397212
-68.028202411 -1136.99281012 0.622288904451 135520 333683 147645 397428
-69.0219218428 -1126.82199799 0.81593454037 133976 333423 133223 396928
-70.0796199868 -1116.51656865 0.843647452143 132042 331438 142543 387970
-71.0804345318 -1107.68350108 0.431088522309 131677 331016 150274 389044
-72.0491916749 -1099.60767439 0.258440247396 130337 330923 151415 395565
-73.023641685 -1091.9123135 0.552596937364 128664 329559 155654 395246
-73.9795983585 -1085.06017797 0.0624702726722 127450 328754 152602 394783
-74.9477177459 -1078.416132 0.690163878685 126494 328197 140828 394245
-75.9663985359 -1071.93614104 0.561723594682 124952 327715 136216 387700
-76.995319789 -1065.87910782 0.556667938261 124098 327470 143800 384533
-77.9849225899 -1060.58109192 0.636254685187 123116 328044 146927 387368
-78.9654385112 -1055.7716209 0.465799060072 122266 327900 139006 389061
-79.9838942444 -1050.97320741 0.187392719101 120853 327550 151287 387802
-80.9462751814 -1046.96352856 0.486983527731 120068 327833 134423 392094
-81.9905993251 -1042.79119847 0.574966080593 119377 327637 133887 386425
-83.0281501361 -1038.98441389 0.191100130392 118378 328265 135489 385097
-84.0561373457 -1035.66718361 0.140400963433 117655 328580 143764 384330
-85.045565548 -1032.82103842 0.616371146503 116629 329197 127325 389377
-86.118773126 -1029.90698775 0.71218759408 115843 329121 134357 383114
